"last_name, first_name","player_id","year","p_formatted_ip","k_percent","bb_percent","woba","xwoba","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","ff_avg_speed","ff_avg_break_z","sl_avg_speed","sl_avg_break_x","sl_avg_break_z","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","cu_avg_speed","cu_avg_break_x","cu_avg_break_z","si_avg_speed","si_avg_break_x","si_avg_break_z","fc_avg_speed","fc_avg_break_x","fc_avg_break_z","fs_avg_speed","fs_avg_break_x","fs_avg_break_z","st_avg_speed","st_avg_break_x","st_avg_break_z","sv_avg_speed","sv_avg_break_x","sv_avg_break_z"
"Fried, Max",608331,2024,"174.1",23.2,8,".273",".299",5,34.6,"73.871292176","93.362715837",24.1,45.9,"93.8","-19.8","83.6","-5.1","-43.7","85.7","1421","12.1","-32.7","74.6","-10.5","-66.6","93.6","10.4","-22.8","88.3","-3.1","-31.8",,,,"80.5","-16.2","-50.3",,,
"Canning, Griffin",656288,2024,"171.2",17.6,8.9,".341",".334",8.6,41.9,"80.443886517","94.700505891",24.5,48.4,"93.4","-15.2","87.7","-0.1","-36.7","88.6","1770","-16.4","-30.6","80.5","12.4","-48.4","92.9","-13.8","-18.8",,,,,,,,,,,,
"Montgomery, Jordan",656756,2024,"117.0",15.6,8.3,".370",".347",6,41,"77.212722234","94.218289135",26.9,49.6,"92.1","-17.1","84.2","-3","-35.4","83.1","1606","10.2","-27.8","79.2","-4.3","-50.8","91.8","14.7","-22.3",,,,,,,,,,,,
"Bradley, Taj",671737,2024,"138.0",26.6,8.1,".308",".314",10.2,42.9,"81.556942554","94.766375924",27.4,50.7,"96.4","-11",,,,,,,,"79.1","6.9","-62",,,,"90.9","4.5","-27","90.9","-10.7","-27.6",,,,,,
"Kikuchi, Yusei",579328,2024,"175.2",28,6,".297",".298",9.7,45,"79.146503958","94.844128643",29,48.4,"95.5","-13.2","88.3","-2.7","-31.9","86.8","1655","12.7","-27.7","82.4","-4.9","-45.1",,,,,,,,,,,,,,,
"Anderson, Tyler",542881,2024,"179.1",18.6,9.5,".308",".322",7.9,33,"76.273537333","93.1219435",27.8,49.3,"89.5","-14.7","81.3","-3.8","-36.6","78.9","1886","12.5","-31.7","71.6","-1.2","-63.5","88.1","17.5","-27","84.3","-3.7","-26.8",,,,,,,,,
"Martinez, Nick",607259,2024,"142.1",20.4,3.2,".279",".278",5.1,30.5,"74.850496934","92.978959505",23.1,51.1,"92.6","-14","84.9","1.2","-35.1","80.1","2105","-12.6","-35.8","80.8","-0.1","-55.7","92","-12.9","-17.8","89.1","2","-22.4",,,,,,,,,
"Suárez, Ranger",624133,2024,"150.2",23.2,6.5,".297",".297",5.1,34.3,"74.743507217","93.618829764",21.9,47.3,"91.8","-20","81.3","-7.6","-43.6","80","1231","10.7","-41.2","74.4","-11.7","-59.7","90.8","15.2","-28.3","86.5","-3.7","-31.2",,,,,,,,,
"Crawford, Kutter",676710,2024,"183.2",23.1,6.7,".304",".304",9.9,36.3,"77.710617066","93.646279363",25.3,52,"92.6","-12.4",,,,,,,,"77.3","7.9","-59.8",,,,"87.5","5.1","-26.9","82.4","-7.1","-31.7","80.8","12.8","-40.3",,,
"Cortes Jr., Nestor",641482,2024,"174.1",22.8,5.5,".307",".295",7.9,43.6,"79.122676225","94.470879177",24.2,50.4,"92","-13.4","81.7","-2.5","-47.2","83.6","1409","13.7","-34.9",,,,"90.2","3.7","-15.2","87.5","-4.6","-26.9",,,,"78.1","-14.9","-43.1",,,
"Montas, Frankie",593423,2024,"150.2",22.6,10.1,".325",".333",9.2,43.1,"77.762357972","94.576313396",24.9,48.7,"95.6","-14.5","85.4","7.5","-33.9",,,,,,,,"94.8","-13.8","-21.2","90.4","1.9","-27.5","86","-9.4","-34.3",,,,,,
"Brown, Hunter",686613,2024,"170.0",25.1,8.4,".296",".283",4.5,30.3,"74.687517768","92.855098176",25.1,46.3,"96","-12.3","89.3","3.7","-29.9","88.4","1463","-14","-26.3","82.9","4.7","-55.5","95.6","-13.6","-16.5","92.4","3.3","-22",,,,,,,,,
"Falter, Bailey",663559,2024,"142.1",16.5,7.6,".320",".336",9,41.3,"79.920380413","94.430660482",19.6,49.5,"91.8","-14.6","86.1","-3.3","-30.5",,,,,"77.7","-3.7","-48.6","92","7.9","-15.4",,,,"86.9","7.3","-21.2",,,,,,
"Rea, Colin",607067,2024,"167.2",18.9,6,".327",".339",8.7,42,"80.213678192","94.594415173",19.3,46.8,"93","-17.8",,,,,,,,"78.7","10","-53.7","92.3","-13.9","-23.1","87.6","2.1","-28.3","86.5","-13.8","-32.5","82","12.8","-41.7",,,
"Kremer, Dean",665152,2024,"129.2",22.2,9.2,".294",".326",9.8,35.4,"75.880741892","93.507892033",23.3,46.2,"93.4","-13.5",,,,,,,,"77","8.6","-60.7","92.2","-14.6","-20.1","86.9","5.5","-30.4","84.1","-8.9","-30.9",,,,,,
"Wacha, Michael",608379,2024,"166.2",21.2,6.6,".300",".311",8.2,32.5,"75.614261583","93.109005646",23.3,48.5,"93.6","-13.3","84.1","2.7","-37.1","81.2","1548","-13","-36.2","75.2","12.3","-60.8","93.6","-12.8","-16.6","88.8","1.2","-24.3",,,,,,,,,
"Heaney, Andrew",571760,2024,"160.0",22.9,5.9,".312",".325",8.3,40.1,"78.990582236","94.388347616",26.3,50.3,"91.6","-19.2","82.6","-2.2","-39","83.7","2105","17.4","-33.7","75.5","-9.2","-54.9","92.2","19.5","-28","84.7","5.1","-33",,,,,,,"80.1","-9.5","-46.3"
"Ragans, Cole",666142,2024,"186.1",29.3,8.8,".277",".283",6.2,35.4,"77.675891223","93.553010853",32,48.9,"95.4","-12.9","86","-0.9","-36.3","84.8","2161","16","-25.9","80.8","-10.2","-55","96.3","14.1","-12.7","90.8","1","-23.2",,,,,,,,,
"Cease, Dylan",656302,2024,"189.1",29.4,8.5,".266",".283",8.5,38.6,"78.282702241","94.084709267",32.4,48.2,"96.9","-10.8","87.7","2.2","-33.6","69.7","1554","-4.3","-39.3","82.3","3.1","-56.6","98.1","-10","-12.5","91.8","3","-26.2",,,,"82.6","11.2","-51.6",,,
"Miller, Bryce",682243,2024,"180.1",24.3,6.4,".260",".299",9.7,41.2,"80.650222167","94.328141625",24.4,48.9,"95.2","-11.9","86.6","3.2","-34.9",,,,,"85","1.7","-44.6","94.7","-15.9","-19.5","92.1","0.3","-18.6","84.4","-9.9","-38.2","82.4","14.8","-45.7",,,
"Waldron, Matt",663362,2024,"146.2",21.3,6.4,".323",".313",7,35,"77.177450505","93.585477592",20.8,45.3,"90.7","-19",,,,,,,,,,,"90","-15.4","-25.7","87","0.8","-26.4",,,,"79.3","13.3","-39",,,
"Peterson, David",656849,2024,"121.0",19.8,9,".299",".329",7.3,42.7,"78.331204972","94.426613853",25.6,47.8,"93.2","-17.9","85.1","-2.6","-38.2","84.7","1637","14.6","-34.6","79.1","-6.1","-53","91.9","14.6","-25.5",,,,,,,,,,,,
"Gray, Sonny",543243,2024,"166.1",30.3,5.8,".292",".297",8.9,37.9,"79.276406538","94.211961253",29.8,48.7,"92.4","-19.8",,,,"88.3","1704","-11.2","-29.8","79.9","12.1","-57.8","92.7","-11.4","-23.5","87.7","5.5","-34.5",,,,"84.8","15.8","-43.7",,,
"Sears, JP",676664,2024,"180.2",18.1,6.5,".324",".324",10.2,40.2,"78.173332182","94.379787855",21.8,48.7,"91.9","-17.7","79.3","-6.2","-35.4","84","1675","16.6","-36.3","79.2","-5.4","-46.7","90","16.1","-27.6",,,,,,,"78.7","-13.3","-39.9",,,
"Stroman, Marcus",573186,2024,"154.2",16.7,8.9,".341",".340",6.7,40.2,"78.437503663","94.344487814",20.4,43.9,"90","-23.1","85.3","4.5","-39.6",,,,,"76.2","15.2","-53.6","90","-9.9","-30.4","88.1","1","-29.2","83.3","-14.8","-35.7",,,,"82.2","15.7","-41.8"
"Gilbert, Logan",669302,2024,"208.2",27.4,4.6,".255",".276",7.2,39.3,"78.976067127","94.386132799",31.7,50.4,"96.6","-13.1","88.4","1","-35.2",,,,,"83.2","13.5","-43.6","95.5","-15.1","-19.6","92.3","3","-20.2","84.5","-5.9","-38",,,,,,
"Myers, Tobias",668964,2024,"138.0",22.3,6.3,".297",".317",8,38.7,"79.298209695","94.361623995",21.3,49.6,"92.9","-12.6","85.5","4.2","-33.9","81.1","1856","-11.7","-29.1","77.8","1.8","-52.2","94.5","-4.4","-12.4","89.2","3.3","-21.8",,,,,,,,,
"Skenes, Paul",694973,2024,"133.0",33.1,6.2,".247",".248",5.2,36.3,"76.618528618","93.629853102",28.7,49.8,"98.8","-17.4","86.6","1.6","-29.8","87.3","2044","-17.5","-32.5","83","7.1","-43.6","98.3","-15.2","-23.6",,,,"94","-14","-30.3","84.7","11.6","-32.7",,,
"Pfaadt, Brandon",694297,2024,"181.2",24.3,5.5,".312",".301",8.1,39.4,"78.684914866","94.224942476",25.4,49.3,"93.8","-16.1",,,,"87.5","2073","-15.5","-32","80.8","12.8","-50.1","93.7","-15.1","-24.6",,,,"89.6","-4.1","-25.7","84.8","11.3","-31.5",,,
"King, Michael",650633,2024,"173.2",27.7,8.7,".284",".293",6.2,30.3,"73.981359732","92.671656987",29.3,45.4,"93.7","-16.2","85.7","3.7","-35.7","86.7","2045","-17.6","-31.4",,,,"92.9","-16.3","-26.3",,,,,,,"82","15","-37.5",,,
"Pallante, Andre",669467,2024,"121.1",18.5,9.4,".293",".289",3.3,38.1,"75.339766989","93.795724801",19.8,46.4,"94.5","-21.1","87.5","4.9","-37.1",,,,,"79.5","4.2","-59.1","94.8","-10.3","-15.7",,,,,,,,,,,,
"Rodón, Carlos",607074,2024,"175.0",26.5,7.7,".320",".314",11,40.9,"80.220048043","94.543522745",30.1,49.4,"95.4","-12.4","86.8","-6.6","-37.5","85.5","1656","12.5","-34.3","81","-6.3","-52.3","95.6","6.6","-13","91.8","-0.3","-21.4",,,,,,,,,
"Feltner, Ryan",663372,2024,"162.1",19.9,7.5,".320",".320",6.5,36.8,"76.695048857","93.803345297",23.9,48.1,"94.6","-16.9","88.6","4.1","-29.5","85.2","1590","-5.5","-32.3","79.2","9.4","-51.8","94.2","-12.7","-22.3",,,,,,,"82.7","11.7","-38.1",,,
"Bello, Brayan",678394,2024,"162.1",21.8,9.1,".319",".328",7.4,41.1,"76.384630975","94.524067665",25.9,46.3,"95.7","-17.3","86.8","7.8","-36.9","87.6","1810","-16.1","-32.5",,,,"95.7","-17.2","-26",,,,,,,,,,,,
"Parker, Mitchell",680730,2024,"151.0",20.6,6.7,".311",".322",8.1,38.9,"79.509350699","94.140672817",22.3,51.4,"92.5","-14.4","84.5","-5.7","-34.7",,,,,"80.5","-2.4","-50",,,,,,,"85.6","6.9","-29.1",,,,,,
"Quintana, Jose",500779,2024,"170.1",18.8,8.8,".312",".327",6.7,38.2,"76.44604848","93.89600374",22.2,43.1,"90.7","-17.2",,,,"85.7","1323","14.3","-33.1","77.6","-6.9","-53.5","90.8","13.9","-20.6",,,,,,,,,,"77.9","-10.1","-47.1"
"Gore, MacKenzie",669022,2024,"166.1",24.8,8.9,".324",".316",6.8,38.1,"76.776975684","93.73951438",28.6,50.4,"96","-12.1","86.6","-1.4","-36.2","85.9","2018","12.4","-27.7","82.8","-0.5","-50.1",,,,"91.1","-1.4","-24.1",,,,"85.8","-8.6","-34.7",,,
"Rogers, Trevor",669432,2024,"124.1",17.3,10,".350",".347",8.4,44.4,"80.391399303","94.92394505",20.9,46.2,"91.9","-17.8","82.4","-3.8","-35.1","85.6","1626","14.4","-37.2",,,,"91.5","17.8","-25.2",,,,,,,,,,,,
"Pepiot, Ryan",686752,2024,"130.0",26.3,8.9,".290",".295",9.1,37.2,"79.441531647","93.814038824",29.9,48,"94.9","-11.1","89","6.4","-26.1","85.8","2477","-15.4","-35","80.6","15.8","-53.2","93.8","-6.6","-15.4","91.6","2.9","-18.6",,,,,,,,,
"Eflin, Zach",621107,2024,"165.1",19.6,3.5,".297",".297",7.5,36.1,"76.388751434","94.040596667",21.6,50,"92.5","-19.2","80.8","4.1","-33.8","85.6","1596","-15.2","-34.4","78.8","11.2","-50.6","91.7","-15.7","-28.1","88.2","1.4","-26.4",,,,"79.7","13.2","-40.6",,,
"Jones, Jared",683003,2024,"121.2",26.2,7.7,".314",".311",9.8,44.5,"79.019910366","94.534128685",30.2,51.6,"97.3","-11.8","88.8","3.8","-32","89.9","1733","-11.9","-28.1","81.5","6.3","-52","97.8","-9.3","-12.6",,,,,,,,,,,,
"Sale, Chris",519242,2024,"177.2",32.1,5.6,".260",".261",5.6,31.2,"75.016805094","93.046190662",31,49,"94.9","-20.5","78.6","-11","-49.3","87.1","1886","16.2","-36",,,,"94.1","17.8","-28.3",,,,,,,,,,,,
"Manaea, Sean",640455,2024,"181.2",24.9,8.5,".275",".300",7.5,37.8,"77.674456946","93.857812243",26.1,49,"92.2","-21.5","85.1","-3.5","-31.6","85.3","1502","14.4","-33.8",,,,"92.5","16.9","-22.5","88.4","-0.2","-27.4",,,,"77.7","-13","-44.1",,,
"Corbin, Patrick",571578,2024,"174.2",18.2,7.1,".357",".357",8.3,46.7,"79.877843129","95.30570991",22.4,48.2,"91.2","-18.4","80","-2.7","-42.5","81","1570","12.7","-32","69.7","-2.9","-57.2","91.5","13.9","-21.8","85.7","-2.1","-32.5",,,,,,,,,
"Severino, Luis",622663,2024,"182.0",21.2,7.9,".308",".305",5.7,35.6,"75.272418577","93.515669191",22,50.6,"96.2","-13.9","86.8","7.2","-35.4","86.1","1583","-14","-29.8",,,,"95.6","-14.5","-18.4","92.6","1.3","-24",,,,"85.1","15","-35.2",,,
"Skubal, Tarik",669373,2024,"192.0",30.3,4.6,".246",".257",6.7,33.9,"76.236530506","93.34039981",31.9,51.8,"96.9","-12.9","88.7","-2.3","-28.5","86.3","1686","14.9","-30.8","78.5","-5.6","-52.2","96.6","14.5","-17.1",,,,,,,,,,,,
"Morton, Charlie",450203,2024,"165.1",23.8,9.3,".335",".326",9.3,38.4,"77.729736875","93.929105313",26.1,46.6,"94.1","-20.4",,,,"85","2172","-17.2","-37.8","81.5","13.6","-50.2","93.6","-17.3","-27.7","88.5","0","-29",,,,,,,,,
"Fedde, Erick",607200,2024,"177.1",21.2,7.2,".293",".306",7.6,37.7,"77.502500545","93.941632164",21.6,45.5,"93.3","-19.5",,,,"87.7","1730","-10.9","-31.8",,,,"93","-9.1","-22.3","89.9","2.8","-26.5",,,,"83.5","11.7","-34.4",,,
"Woods Richardson, Simeon",680573,2024,"133.2",20.6,8.4,".305",".310",8.2,36.2,"78.06318392","93.54377801",22.3,49.8,"93.1","-14.1","86.4","6.2","-29.4","82.8","2271","-15.4","-30.2","76.1","5.5","-62.4",,,,,,,,,,,,,,,
"Abbott, Andrew",671096,2024,"138.0",19.5,8.9,".323",".310",9.3,33.5,"78.18333039","93.177609095",22.6,47.6,"92.8","-15.5","85.1","-4.5","-26.7","84.8","2115","14.8","-25.6","80.8","-8.8","-45.7",,,,,,,,,,"82.9","-12.6","-35.3",,,
"Marsh, Alec",679525,2024,"129.0",22.4,7.1,".325",".341",9.6,40.9,"78.827178162","94.623945041",23.5,47.6,"94.2","-15.9","86.6","3.3","-36.1","86.3","1748","-14.7","-33.2","82.8","7.5","-47","93.6","-16.8","-24",,,,,,,"86.1","11","-38.8",,,
"Bibee, Tanner",676440,2024,"173.2",26.3,6.2,".299",".300",7,36.9,"77.504108675","93.719329103",26.9,51,"94.6","-14.7","83.2","14.9","-39.5","82.5","1992","-13.7","-28.6","80.6","14","-48","93.9","-14.1","-22.7","86.5","8.3","-32.5",,,,,,,,,
